type,name,products_description,metaDescription,metaImage,metaTitle,price,image,category,product_short_description,brands,Product_Video1,Product_Video2,Product_Video3,Product_Video4
simple,Angled Light Barriers- OGL051G3-T3,"Unbox Industry presents angled light barriers by di-soric. Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.
 
 Features:
 - 4 operating modes as an IO-Link parameter
 - Switch-on/off delay as an IO-Link parameter
 - Diagnostics with IO-Link
 - Metal casing
 - Sensitivity is adjustable
 - High switching frequency
 - Light/dark switching
 - Bright ring LED
 - High protection type","Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection objects",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/PP_OGL_05x_G3-T3.png,Angled Light Barriers | Unbox Industry,20412,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/PP_OGL_05x_G3-T3.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/PP_OGL_05x_G3-T3.png",11,"Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.",30,,,,
simple,Angled Light Barriers- OGL050G3-T3,"Unbox Industry presents angled light barriers by di-soric. Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.
 
 Features:
 - 4 operating modes as an IO-Link parameter
 - Switch-on/off delay as an IO-Link parameter
 - Diagnostics with IO-Link
 - Metal casing
 - Sensitivity is adjustable
 - High switching frequency
 - Light/dark switching
 - Bright ring LED
 - High protection type","Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection objects",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/PP_OGL_05x_G3-T3.png,Angled Light Barriers | Unbox Industry,20412,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/PP_OGL_05x_G3-T3.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/PP_OGL_05x_G3-T3.png",11,"Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.",30,,,,
simple,Angled Light Barriers- OGL080G3-T3,"Unbox Industry presents angled light barriers by di-soric. Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.
 
 Features:
 - 4 operating modes as an IO-Link parameter
 - Switch-on/off delay as an IO-Link parameter
 - Diagnostics with IO-Link
 - Metal casing
 - Sensitivity is adjustable
 - High switching frequency
 - Light/dark switching
 - Bright ring LED
 - High protection type","Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection objects",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl_08x_g3-t3.png,Angled Light Barriers | Unbox Industry,22754,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl_08x_g3-t3.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl_08x_g3-t3.png",11,"Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.",30,,,,
simple,Angled Light Barriers- OGL081G3-T3,"Unbox Industry presents angled light barriers by di-soric. Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.
 
 Features:
 - 4 operating modes as an IO-Link parameter
 - Switch-on/off delay as an IO-Link parameter
 - Diagnostics with IO-Link
 - Metal casing
 - Sensitivity is adjustable
 - High switching frequency
 - Light/dark switching
 - Bright ring LED
 - High protection type","Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection objects",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl_08x_g3-t3.png,Angled Light Barriers | Unbox Industry,22754,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl_08x_g3-t3.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl_08x_g3-t3.png",11,"Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.",30,,,,
simple,Angled Light Barriers- OGL121G3-T3,"Unbox Industry presents angled light barriers by di-soric. Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.
 
 Features:
 - 4 operating modes as an IO-Link parameter
 - Switch-on/off delay as an IO-Link parameter
 - Diagnostics with IO-Link
 - Metal casing
 - Sensitivity is adjustable
 - High switching frequency
 - Light/dark switching
 - Bright ring LED
 - High protection type","Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection objects",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl_12x_g3-t3.png,Angled Light Barriers | Unbox Industry,23909,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl_12x_g3-t3.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl_12x_g3-t3.png",11,"Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.",30,,,,
simple,Angled Light Barriers- OGL120G3-T3,"Unbox Industry presents angled light barriers by di-soric. Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.
 
 Features:
 - 4 operating modes as an IO-Link parameter
 - Switch-on/off delay as an IO-Link parameter
 - Diagnostics with IO-Link
 - Metal casing
 - Sensitivity is adjustable
 - High switching frequency
 - Light/dark switching
 - Bright ring LED
 - High protection type","Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection objects",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl_12x_g3-t3.png,Angled Light Barriers | Unbox Industry,23909,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl_12x_g3-t3.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl_12x_g3-t3.png",11,"Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.",30,,,,
simple,Angled Light Barriers- OGLP050G3-T3,"Unbox Industry presents angled light barriers by di-soric. Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.
 
 Features:
 - 4 operating modes as an IO-Link parameter
 - Switch-on/off delay as an IO-Link parameter
 - Diagnostics with IO-Link
 - Metal casing
 - Sensitivity is adjustable
 - High switching frequency
 - Light/dark switching
 - Bright ring LED
 - High protection type","Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection objects",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_oglp_050_x3k-tssl.png,Angled Light Barriers | Unbox Industry,25085,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_oglp_050_x3k-tssl.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_oglp_050_x3k-tssl.png",11,"Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.",30,,,,
simple,Angled Light Barriers- OGLP080G3-T3,"Unbox Industry presents angled light barriers by di-soric. Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.
 
 Features:
 - 4 operating modes as an IO-Link parameter
 - Switch-on/off delay as an IO-Link parameter
 - Diagnostics with IO-Link
 - Metal casing
 - Sensitivity is adjustable
 - High switching frequency
 - Light/dark switching
 - Bright ring LED
 - High protection type","Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection objects",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/IM0005342.png,Angled Light Barriers | Unbox Industry,27311,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/IM0005342.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/IM0005342.png",11,"Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.",30,,,,
simple,Angled Light Barriers- OGL50/31P6L-IBS,"Unbox Industry presents angled light barriers by di-soric. Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.
 
 Features:
 - 4 operating modes as an IO-Link parameter
 - Switch-on/off delay as an IO-Link parameter
 - Diagnostics with IO-Link
 - Metal casing
 - Sensitivity is adjustable
 - High switching frequency
 - Light/dark switching
 - Bright ring LED
 - High protection type","Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection objects",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl50_31p6l-ibs_xx.png,Angled Light Barriers | Unbox Industry,23678,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl50_31p6l-ibs_xx.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl50_31p6l-ibs_xx.png",11,"Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.",30,,,,
simple,Angled Light Barriers- OGL55/54P6L-IBS,"Unbox Industry presents angled light barriers by di-soric. Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.
 
 Features:
 - 4 operating modes as an IO-Link parameter
 - Switch-on/off delay as an IO-Link parameter
 - Diagnostics with IO-Link
 - Metal casing
 - Sensitivity is adjustable
 - High switching frequency
 - Light/dark switching
 - Bright ring LED
 - High protection type","Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection objects",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl55_54p6l-ibs_xx.png,Angled Light Barriers | Unbox Industry,23678,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl55_54p6l-ibs_xx.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ogl55_54p6l-ibs_xx.png",11,"Angled light barriers works according to the through-beam principle. They are used, preferably in tight spaces, for fast, surface-independent detection of objects. Since transmitter, receiver and the electronics are located in one housing, they can be mounted quickly. Costly brackets and time-consuming adjustments can be avoided.",30,,,,
