type,name,products_description,metaDescription,metaImage,metaTitle,price,image,category,product_short_description,brands,Product_Video1,Product_Video2,Product_Video3,Product_Video4
simple,Hik FA Lens- MVL-KF1228M-12MP,"Unbox Industry presents the FA series lens by HIKROBOT. Self-developed FA series lens especially for vision application characteristics, has the design concept of high performance and low cost. The product features high definition, better image center-edge definition consistency, 
 and higher relative illumination to provide better choices.
 
 Key Feature 
 -Ultra high resolution and consistency of image clarity
 
 - Bigger aperture, lower distortion and higher relative illumination rate
 
 - Achromatic optical system design, Better imaging performance with color camera
 
 - Excellent vibration resistance performance, optical axis shifting within pixel level
 
 - Good stability at high and low temperature
 
 - Multilayer and broadband coating design, compatible with visible and near-infrared applications","Self-developed FA series lens especially for vision application characteristics, has the design concept of high performance and low cost. The product features",https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727153143184341577.png,HIK FA Lens | Unbox Industry,0,"https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727153143184341577.png, https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727153143184341577.png",1,"Self-developed FA series lens especially for vision application characteristics, has the design concept of high performance and low cost. The product features high definition, better image center-edge definition consistency, and higher relative illumination to provide better choices.",4,,,,
simple,CE Series Area Scan Camera-MV-CE013-80GC,"Unbox Industry presents the area scan CE Series camera by HIKROBOT. CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs. 
 
 Key Feature 
 - Adopts GigE interface and max. transmission distance of 100 meters without relay. 
 - Up to 128 MB local memory for burst transmission and retransmission. 
 - Supports auto exposure control, LUT, Gamma correction, etc. 
 Supports hardware trigger, software trigger, etc. 
 - Compatible with GigE Vision V1.2 Protocol and the third-party software based on the protocol.",CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs,https://www.hikrobotics.com/en2/source/vision/image/2023/8/17/20230817034033137931221.png,Area Scan Camera- CE Series | Unbox Industry,0,"https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727134321249259851.png
 https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727134321249259851.png",1,CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs.,4,,,,
simple,CE Series Area Scan Camera-MV-CE013-80UM,"Unbox Industry presents the area scan CE Series camera by HIKROBOT. CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs. 
 
 Key Feature 
 - Adopts GigE interface and max. transmission distance of 100 meters without relay. 
 - Up to 128 MB local memory for burst transmission and retransmission. 
 - Supports auto exposure control, LUT, Gamma correction, etc. 
 Supports hardware trigger, software trigger, etc. 
 - Compatible with GigE Vision V1.2 Protocol and the third-party software based on the protocol.",CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs,https://www.hikrobotics.com/en2/source/vision/image/2023/8/17/20230817034033137931221.png,Area Scan Camera- CE Series | Unbox Industry,0,"https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727152407713944491.png, https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727152407713944491.png",1,CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs.,4,,,,
simple,CE Series Area Scan Camera-MV-CE020-10GC,"Unbox Industry presents the area scan CE Series camera by HIKROBOT. CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs. 
 
 Key Feature 
 - Adopts GigE interface and max. transmission distance of 100 meters without relay. 
 - Up to 128 MB local memory for burst transmission and retransmission. 
 - Supports auto exposure control, LUT, Gamma correction, etc. 
 Supports hardware trigger, software trigger, etc. 
 - Compatible with GigE Vision V1.2 Protocol and the third-party software based on the protocol.",CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs,https://www.hikrobotics.com/en2/source/vision/image/2023/8/17/20230817034033137931221.png,Area Scan Camera- CE Series | Unbox Industry,0,"https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727131317687678573.png, https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727131317687678573.png",1,CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs.,4,,,,
simple,CE Series Area Scan Camera-MV-CE050-30UC,"Unbox Industry presents the area scan CE Series camera by HIKROBOT. CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs. 
 
 Key Feature 
 - Adopts GigE interface and max. transmission distance of 100 meters without relay. 
 - Up to 128 MB local memory for burst transmission and retransmission. 
 - Supports auto exposure control, LUT, Gamma correction, etc. 
 Supports hardware trigger, software trigger, etc. 
 - Compatible with GigE Vision V1.2 Protocol and the third-party software based on the protocol.",CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs,https://www.hikrobotics.com/en2/source/vision/image/2023/8/17/20230817034033137931221.png,Area Scan Camera- CE Series | Unbox Industry,0,"https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727125846142784004.png, https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727125846142784004.png",1,CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs.,4,,,,
simple,CE Series Area Scan Camera-MV-CE050-31GC,"Unbox Industry presents the area scan CE Series camera by HIKROBOT. CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs. 
 
 Key Feature 
 - Adopts GigE interface and max. transmission distance of 100 meters without relay. 
 - Up to 128 MB local memory for burst transmission and retransmission. 
 - Supports auto exposure control, LUT, Gamma correction, etc. 
 Supports hardware trigger, software trigger, etc. 
 - Compatible with GigE Vision V1.2 Protocol and the third-party software based on the protocol.",CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs,https://www.hikrobotics.com/en2/source/vision/image/2023/8/17/20230817034033137931221.png,Area Scan Camera- CE Series | Unbox Industry,0,"https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727125948490725059.png, https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727125948490725059.png",1,CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs.,4,,,,
simple,CE Series Area Scan Camera-MV-CE060-10UM,"Unbox Industry presents the area scan CE Series camera by HIKROBOT. CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs. 
 
 Key Feature 
 - Adopts GigE interface and max. transmission distance of 100 meters without relay. 
 - Up to 128 MB local memory for burst transmission and retransmission. 
 - Supports auto exposure control, LUT, Gamma correction, etc. 
 Supports hardware trigger, software trigger, etc. 
 - Compatible with GigE Vision V1.2 Protocol and the third-party software based on the protocol.",CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs,https://www.hikrobotics.com/en2/source/vision/image/2023/8/17/20230817034033137931221.png,Area Scan Camera- CE Series | Unbox Industry,0,"https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727125901142497541.png, https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727125901142497541.png",1,CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs.,4,,,,
simple,CE Series Area Scan Camera-MV-CE060-10UC,"Unbox Industry presents the area scan CE Series camera by HIKROBOT. CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs. 
 
 Key Feature 
 - Adopts GigE interface and max. transmission distance of 100 meters without relay. 
 - Up to 128 MB local memory for burst transmission and retransmission. 
 - Supports auto exposure control, LUT, Gamma correction, etc. 
 Supports hardware trigger, software trigger, etc. 
 - Compatible with GigE Vision V1.2 Protocol and the third-party software based on the protocol.",CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs,https://www.hikrobotics.com/en2/source/vision/image/2023/8/17/20230817034033137931221.png,Area Scan Camera- CE Series | Unbox Industry,0,"https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727125854416964381.png, https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727125854416964381.png",1,CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs.,4,,,,
simple,CE Series Area Scan Camera-MV-CE100-30GC,"Unbox Industry presents the area scan CE Series camera by HIKROBOT. CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs. 
 
 Key Feature 
 - Adopts GigE interface and max. transmission distance of 100 meters without relay. 
 - Up to 128 MB local memory for burst transmission and retransmission. 
 - Supports auto exposure control, LUT, Gamma correction, etc. 
 Supports hardware trigger, software trigger, etc. 
 - Compatible with GigE Vision V1.2 Protocol and the third-party software based on the protocol.",CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs,https://www.hikrobotics.com/en2/source/vision/image/2023/8/17/20230817034033137931221.png,Area Scan Camera- CE Series | Unbox Industry,0,"https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727125954262820396.png, https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727125954262820396.png",1,CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs.,4,,,,
simple,CE Series Area Scan Camera-MV-CE120-10GM,"Unbox Industry presents the area scan CE Series camera by HIKROBOT. CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs. 
 
 Key Feature 
 - Adopts GigE interface and max. transmission distance of 100 meters without relay. 
 - Up to 128 MB local memory for burst transmission and retransmission. 
 - Supports auto exposure control, LUT, Gamma correction, etc. 
 Supports hardware trigger, software trigger, etc. 
 - Compatible with GigE Vision V1.2 Protocol and the third-party software based on the protocol.",CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs,https://www.hikrobotics.com/en2/source/vision/image/2023/8/17/20230817034033137931221.png,Area Scan Camera- CE Series | Unbox Industry,0,"https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727130002728239682.png, https://www.hikrobotics.com/en2/source/vision/image/2023/7/27/20230727130002728239682.png",1,CE series cameras cover 0.3-20M pixels with mainly rolling shutter exposure and provides Gigabit Ethernet / USB 3.0 interfaces to meet various industrial needs.,4,,,,
