id,type,name,description,price,image,category,reach,max_payload,linear_speed,degree_of_freedom,clean_room,min_operating_distance,max_operating_distance,number_of_gripping_elements,max_payload,weight,human_robot_collaboration
4348,simple,Epson LS6 Robotic Arm,"<a href=""https://www.unboxindustry.com"">Unbox Industry</a> presents LS6 by <a href=""https://www.epson.co.in/"">Epson</a>. Epson offers SCARA robot systems to meet virtually every assembly and industrial process automation need. Whatever your reach and payload requirements, there's an Epson SCARA system that can satisfy them
\n
\n<strong>The Value Line of Epson SCARA Robots:</strong> The Epson LS-Series SCARA robots were created with reduced cost in mind. A wide variety of low-cost technologies including the new RC90 controller are used with the LS-Series robots.
\n
\nEpson LS6 robots have an arm's length of 600mm in reach and cycle times down to 0.42 seconds. Cleanroom models of the LS3 and LS6 are available (ISO4) for medical, semiconductor, and other particle-sensitive applications.
\n
\n<strong>Outstanding cost-performance and reliability: </strong>The Epson LS-Series SCARA robots provide fast cycle times, great work envelopes, and best-in-class ease of use with the RC90 controller and EPSON RC+ development software.
\n
\nWith their small footprint and big feature set, LS Series robots are the cost-effective solution for all kinds of pick-and-place and assembly tasks. Ideal as replacements for older Cartesian units, they feature dedicated controllers for unrivaled operating ease.",780000,"https://www.unboxindustry.com/wp-content/uploads/2022/05/28429-productpicture-hires-en-ls6-b602s_03.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/28429-productpicture-hires-en-ls6-b602s_05.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/28429-productpicture-hires-en-ls6-b602s_04.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/28429-productpicture-hires-en-ls6-b602s_03.png",14,,,,,,,,,,,
4349,simple,Epson VT6 Robot Arm,"<a href=""https://www.unboxindustry.com"">Unbox Industry</a> presents VT6 by <a href=""https://www.epson.co.in/"">Epson</a>. The ultra-affordable all-in-one solution that��?s compact and easy to use. With next-level technology at an incredible price, the VT6L All-in-One 6-Axis robot is ideal for a wide variety of simple applications. Delivering many of the features found in Epson��?s high-end robots. The ultra-affordable all-in-one solution that��?s compact and easy to use.
\n<p class=""name"">With next-level technology at an incredible price, the VT6L All-in-One 6-Axis robot is ideal for a wide variety of simple applications. Delivering many of the features found in Epson��?s high-end robots.</p>
\n<strong>Full-featured; ultra low cost</strong> ��? the same powerful features found in Epson��?s high-end robots,��? with a reach up to 900 mm and payload up to 6 kg.
\n
\n<strong>Easy to use</strong> ��? intuitive and feature-packed Epson RC+ development software makes it easy to create powerful solutions and also Easy to install and integrate to help reduce overall implementation time
\n
\n<strong>SlimLine design</strong>��?��? compact wrist pitch enables access to hard-to-reach areas in confined spaces
\n
\n<strong>Power Consumption</strong> - Comes standard with 110 V and 220 V power ��? low wattage and power consumption
\n
\n<strong>Fast, easy integration</strong>��?��? installs in minutes; requires less time and money for system integration
\n
\n<strong>Integrated vision guidance option</strong>��?��? designed specifically for robot guidance; makes it easy to automate simple applications when vision is required
\n
\n<strong>Simplified cabling</strong>��?��? hollow end-of-arm design makes end-of-arm tooling easier than ever
\n
\nNo battery required for encoder ��? minimizes downtime and reduces the overall cost of ownership
\n
\n<strong>Application versatility</strong> ��? ideal for machine-tool and injection-molding load/unload, pick-and-place, dispensing, and simple assembly projects",840000,"https://www.unboxindustry.com/wp-content/uploads/2022/05/vt6l_003_690x460-1.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/vt6l_010_690x460-1.jpg, https://www.unboxindustry.com/wp-content/uploads/2022/05/VT6L-All-in-One-6-Axis-Robot-1-pdf.jpg",14,,,,,,,,,,,
4353,simple,Epson LS3 Robotic Arm,"<a href=""https://www.unboxindustry.com"">Unbox Industry</a> presents LS3 by <a href=""https://www.epson.co.in/"">Epson</a> SCARA robot systems to meet virtually every assembly and industrial process automation need. Whatever your reach and payload requirements, there's an Epson SCARA system that can satisfy them.
\n
\n<strong>The Value Line of Epson SCARA Robots</strong>
\nThe Epson LS-Series SCARA robots were created with reduced cost in mind. A wide variety of low-cost technologies including the new RC90 controller are used with the LS-Series robots. The Epson LS3 cycle times are down to 0.45 seconds which provides plenty of speed for most applications. The arm length is 400mm (J1+J2) which allows an LS3 to handle pallet sizes up to 239.5 x 239.5mm in size.
\n
\n<strong>Outstanding cost-performance and reliability</strong>
\nThe Epson LS-Series SCARA robots provide fast cycle times, great work envelopes, and best-in-class ease of use with the RC90 controller and EPSON RC+ development software. Ideal as replacements for older Cartesian units, they feature dedicated controllers for unrivaled operating ease.",900000,"https://www.unboxindustry.com/wp-content/uploads/2022/05/LS3-550-x-310-1.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/LS3-SCARA-Robots-1-1-pdf.jpg",14,,,,,,,,,,,
4356,simple,Epson T6 Robot Arm,"<a href=""https://www.unboxindustry.com"">Unbox Industry</a> presents the T-Series robot by <a href=""https://www.epson.co.in/"">Epson</a>. This highly compact, versatile entry-level production robot is great for automating handling materials, has a built-in controller, and is designed for easy installation and usability. It boosts productivity by handling payloads up to 6kg, making it ideal for customers who want to use a T-Series robot to transport large, heavy parts or to carry multiple parts at once.
\n
\n<strong>Simple:-</strong> It has an integrated controller that requires minimal technical know-how and user intervention. Also, the cabling is very simple for easy operation and maintenance.
\n
\n<strong>Flexible:-</strong> This robot is designed to meet the growing needs of your business. Capable of taking on a range of tasks, the 4-axis provides a great range of motion, the payload is up to 6kg and the reach is 600mm.
\n
\n<strong>Affordable:-</strong> The SCARA T6 is built with budgetary constraints in mind, providing essential features without superfluous functionality. In addition, you will also benefit from low power consumption, minimal unplanned downtime, and low running costs.
\n
\n<strong>Space-saving:-</strong> This robot is intended to be economical in all areas, not only financially. With this in mind, the model has a very small footprint which complements the built-in controller and simple cabling.
\n
\n<strong>Battery-less motor unit:-</strong> Reduces running costs and line downtime. You'll never need to buy, replace, and dispose of old motor batteries.",780000,"https://www.unboxindustry.com/wp-content/uploads/2022/05/T6_005-1.jpg, https://www.unboxindustry.com/wp-content/uploads/2022/05/T6_007-1.jpg, https://www.unboxindustry.com/wp-content/uploads/2022/05/T6-Scara-Robot-_-Industrial-Robots-1-pdf.jpg",14,,,,,,,,,,,
4360,simple,Epson T3 Robot Arm,"<a href=""https://www.unboxindustry.com"">Unbox Industry</a> presents the T Series robot by <a href=""https://www.epson.co.in/"">Epson</a>. T Series robots feature a built-in controller for space-saving configuration flexibility and easy setup. Configuration ease ensures high productivity with minimum downtime, significantly reducing total cost of ownership (TCO).
\n
\nA NEW DIMENSION IN SCARA PERFORMANCE:-��?T Series robots feature a built-in controller for space-saving configuration flexibility and easy setup. Configuration ease ensures high productivity with minimum downtime, significantly reducing the total cost of ownership (TCO).
\n
\n<strong>General:</strong>
\n<ul>
\n 	<li>Payload:
\n<ul>
\n 	<li>Rated: 1 kg</li>
\n 	<li>Maximum: 3 kg*1</li>
\n</ul>
\n</li>
\n 	<li>Arm Length:
\n<ul>
\n 	<li>Joint #1 + #2: 400 mm</li>
\n</ul>
\n</li>
\n 	<li>Repeatability:
\n<ul>
\n 	<li>Joint #1, #2: ��?0.02 mm</li>
\n 	<li>Joint #3: ��?0.02 mm</li>
\n 	<li>Joint #4: ��?0.02��?</li>
\n</ul>
\n</li>
\n 	<li>Mounting Type:
\n<ul>
\n 	<li>Table top</li>
\n</ul>
\n</li>
\n 	<li>operating speed:
\n<ul>
\n 	<li>Joint #1, #2: 3700 mm/s</li>
\n 	<li>Joint #3: 1000 mm/s</li>
\n 	<li>Joint #4: 2600��?/s</li>
\n</ul>
\n</li>
\n 	<li>Weight: 16 kg, Cables not included</li>
\n 	<li>motion range: Joint #6: ��?360��?</li>
\n 	<li>Standard cycle time*2:0.54 sec</li>
\n 	<li>Allowable moment of inertia*3:��?Joint #4: 0.003 kgm2 (rated), 0.01 kgm2 (maximum)</li>
\n 	<li>Motor power consumption:��?Joint #1: 1000W</li>
\n 	<li>Down force:��?Joint #3: 83N</li>
\n 	<li>Installed wire for customer use:
\n<ul>
\n 	<li>Hand I/O: IN6/OUT4 (D-sub 15pin), 24V
\nUser I/O: IN18/OUT12</li>
\n</ul>
\n</li>
\n 	<li>Installed pneumatic tube for customer use:��?6 mm x 2, ��?4 mm x 1: 0.59 MPa (6 kgf/cm2: 86 psi)</li>
\n 	<li>Power / cable length:AC100-240V / 5m</li>
\n 	<li>Applicable controller:��?Inside of manipulator</li>
\n 	<li>Model:��?Standard</li>
\n 	<li>Safety standard:��?CE Mark</li>
\n</ul>",540000,"https://www.unboxindustry.com/wp-content/uploads/2022/05/T3_01-1.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/T3-_-spec-sheet-1-pdf.jpg, https://www.unboxindustry.com/wp-content/uploads/2022/05/T3_03-1.png",14,,,,,,,,,,,
4364,simple,HIK vision SC7000P smart camera,"<p class=""summary-text"" data-v-40d309b8=""""><a href=""https://www.unboxindustry.com"">Unbox Industry</a> presents SC7000Pro from <a href=""https://www.hikrobotics.com/"">Hikrobot</a>. SC7000Pro smart camera is embedded with a high-performance AI platform. Combined with traditional algorithms and AI algorithms, it can provide powerful help for complex and diverse detection scenarios such as defect detection, classification, OCR and positioning, .etc. The highly integrated product form gives a new standard for visual detection of intelligent manufacturing.</p>
\n<strong>Feature</strong>
\n<ul class="" list-paddingleft-2"">
\n 	<li>Built-in deep learning algorithms to achieve character and object recognition, object sorting, etc.</li>
\n 	<li>Integrates general vision algorithms to achieve location, measurement, recognition, etc.</li>
\n 	<li>Supports mechanical autofocus function to achieve fast debugging and configuration.</li>
\n 	<li>Big memory and storage support image savings in the loop with high performance.</li>
\n 	<li>Adopts multiple I/O interfaces for controlling.</li>
\n 	<li>Supports multiple communication protocols.</li>
\n 	<li>Supports indicators displaying device status.</li>
\n</ul>
\n&nbsp;",,"https://www.unboxindustry.com/wp-content/uploads/2022/05/image_sc7000-1.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/20220325015052666.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/20220315022749891.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/73a48903d50f-scaled-1.gif, https://www.unboxindustry.com/wp-content/uploads/2022/05/MV-SC7016C-Smart-Camera_datasheet_20210909-1-pdf.jpg, https://www.unboxindustry.com/wp-content/uploads/2022/05/Untitled-2.webp",1,,,,,,,,,,,
4370,simple,HIK vision SC3000 Smart Camera,"<p class=""summary-text"" data-v-40d309b8=""""><a href=""https://www.unboxindustry.com"">Unbox Industry</a> presents SC3000 by<a href=""https://www.hikrobotics.com/""> Hikrobot</a>. Integrated with imaging, processing, and communication functions, the SC3000 series has a more compact size, and the vision detection tools lead to better performance. Equipped with a new SCMVS for on-site deployment and lower debugging requirements, bringing a more comprehensive and cost-effective choice for a visual inspection!</p>
\n<strong>Feature</strong>
\n<ul class="" list-paddingleft-2"">
\n 	<li>Adopts embedded hardware platform for high-speed image processing.</li>
\n 	<li>Adopts built-in positioning and measurement algorithms to detect object's existence, quantity, location, etc.</li>
\n 	<li>Multiple IO interfaces for input and output signals.</li>
\n 	<li>Multiple indicators for displaying device status.</li>
\n 	<li>Adopts light source to ensure uniform brightness in the illuminated area.</li>
\n 	<li>Supports multiple communication protocols, including Serial Port, TCP, UDP, FTP, Profinet, Modbus, etc.</li>
\n</ul>
\n&nbsp;",160000,"https://www.unboxindustry.com/wp-content/uploads/2022/05/image_sc3000-1.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/20210716083941097.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/MV-SC3016C-Vision-Sensor_datasheet_20210615-1-pdf.jpg, https://www.unboxindustry.com/wp-content/uploads/2022/05/27dbe9288881-1-scaled-1.gif",1,,,,,,,,,,,
4375,simple,HIK vision SC2000 smart camera,"<h4 class=""summary-title"">SC2000E Series Vision Sensor</h4>\nn<p class=""summary-text"" data-v-40d309b8="""">The SC2000E vision sensor integrates the full functions of a vision system: lighting, acquisition, processing, and communication in a minimal fuselage. Bring new choices for Y/N, and P/N verifications with excellent performance in error-proofing detection scenarios</p>",135000,"https://www.unboxindustry.com/wp-content/uploads/2022/05/image_sc2000E-1.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/20211021063009259.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/1634798630681030398.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/MV-SC2016EM-06S-WBN-Mini-Vision-Sensor_datasheet_20210805-1-pdf.jpg",1,,,,,,,,,,,
4380,simple,HIK vision ID5000 smart code reader,"<p class=""summary-title""><a href=""http://unboxindustry.com"">Unbox Industry</a> presents a smart code reader by <a href=""https://www.hikrobotics.com/en"">HIKRobot</a>. Based on a multi-core deep learning processor, the full-featured code reader brings powerful code reading performance. Equipped with a mechanical focus lens and various components, ID5000 can reach up to 20M pixels, suitable for various code reading applications.</p>
\n<strong>Key Feature</strong>
\n<ul>
\n 	<li>Adopts a built-in deep learning algorithm to read codes with good robustness.</li>
\n 	<li>Adopts mechanical autofocus lens to achieve automatic focusing.</li>
\n 	<li>Adopts multiple IO interfaces for input and output signals.</li>
\n 	<li>Supports multiple communication protocols, including TCP, Serial, FTP, Profinet, etc.</li>
\n 	<li>Adopts CMOS sensor to acquire image data and provide high-quality image.</li>
\n 	<li>Supports RS-232 serial port and indicators displaying device status.</li>
\n</ul>",,"https://www.unboxindustry.com/wp-content/uploads/2022/05/image_ID5000-1.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/MV-ID5016M-xxS-WBN-Smart-Code-Reader_datasheet_20210111-1-pdf.jpg, https://www.unboxindustry.com/wp-content/uploads/2022/05/images-2.jpg",1,,,,,,,,,,,
4384,simple,HIK ID3000 smart code reader,"<p class=""summary-text"" data-v-40d309b8=""""><a href=""https://www.unboxindustry.com"">Unbox Industry</a> presents ID3000 smart code reader by <a href=""https://www.hikrobotics.com/"">HikRobot</a>. Based on the embedded deep-learning platform, ID3000 adopts a compact &amp; modular design. With easy debugging (mechanical focusing), automatic polarization function, and controllable light source branching, ID3000 can be widely used in various code reading scenarios.</p>
\n<strong>Feature</strong>
\n<ul class="" list-paddingleft-2"">
\n 	<li><span class=""fontstyle3"">Adopts CMOS sensor to acquire image data and provide high-quality image.</span></li>
\n 	<li><span class=""fontstyle3"">Adopts built-in deep learning algorithm to read barcodes.</span></li>
\n 	<li><span class=""fontstyle3"">Adopts IO interface for multiple input and output signals.</span></li>
\n 	<li><span class=""fontstyle3"">Adopts OK/NG, PWR, STS and LNK indicators for displaying different statuses.</span></li>
\n 	<li><span class=""fontstyle3"">Supports multiple communication protocols, including TCP/IP, Serial, and FTP.</span></li>
\n</ul>",120000,"https://www.unboxindustry.com/wp-content/uploads/2022/05/image_ID3000-1.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/Screen-Shot-2019-10-23-at-3.51.13-pm-1.opt593x355o00s593x355-1.png, https://www.unboxindustry.com/wp-content/uploads/2022/05/MV-ID3016PM-Smart-Code-Reader_datasheet_20201224-1-1-pdf.jpg",1,,,,,,,,,,,
