type,name,products_description,metaDescription,metaimage,metaTitle,price,image,category,product_short_description,brands,Product_Video1,Product_Video2,Product_Video3,Product_Video4
simple,iRayple 3000 Series Area Scan Camera- A3504CU000E,"Unbox Industry presents a area scan camera by iRayple. The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.
 
 Key Features:
 - USB3.0 interface, 5Gbps theoretical transfer bandwidth, power supply via USB interface；
 
 - Compact size of 29mmx29mmx29mm;
 
 - 128MB on-board cache for data transmission or image resend;
 
 - Support Software Trigger/Hardware Trigger/Free Run Mode;
 
 - Support ISP functions including Sharpness/Denoising/Gamma/LUT/BlackLevel Correction/TargetBrightness etc.;
 
 - Color cameras support interpolation, white balance, chroma, saturation, etc.；
 
 - Support multiple image data formats output/ROI/Mirror, etc.；
 
 - Compatible with USB3.0 Vision protocol and GenICam standard;
 
 - Comform to CE, FCC, RoHS;",The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12.,"https://file.irayple.com/download/CPQ/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__45Left_logo.png?x-image-process=image/resize,m_lfit,w_500,h_500",iRayple 3000 Series Area Scan Camera | Unbox Industry,0,"https://file.irayple.com/download/FOLDER1088667/itemNumber/MVAI14-00_U3%E5%8D%95%E6%9D%BF%E7%9B%B8%E6%9C%BA_%E6%95%88%E6%9E%9C%E5%9B%BE_Front_%E6%94%B9.png?x-image-process=image/resize,m_lfit,w_500,h_500",1,"The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.",4,,,,
simple,iRayple 3000 Series Area Scan Camera- A3504MU000E,"Unbox Industry presents a area scan camera by iRayple. The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.
 
 Key Features:
 - USB3.0 interface, 5Gbps theoretical transfer bandwidth, power supply via USB interface；
 
 - Compact size of 29mmx29mmx29mm;
 
 - 128MB on-board cache for data transmission or image resend;
 
 - Support Software Trigger/Hardware Trigger/Free Run Mode;
 
 - Support ISP functions including Sharpness/Denoising/Gamma/LUT/BlackLevel Correction/TargetBrightness etc.;
 
 - Color cameras support interpolation, white balance, chroma, saturation, etc.；
 
 - Support multiple image data formats output/ROI/Mirror, etc.；
 
 - Compatible with USB3.0 Vision protocol and GenICam standard;
 
 - Comform to CE, FCC, RoHS;",The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12.,"https://file.irayple.com/download/CPQ/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__Other_logo_%E5%8D%8E%E7%9D%BF%E7%BB%84%E5%90%88%E5%9B%BE.png?x-image-process=image/resize,m_lfit,w_500,h_500",iRayple 3000 Series Area Scan Camera | Unbox Industry,0,"https://file.irayple.com/download/CPQ/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__45Left_logo.png?x-image-process=image/resize,m_lfit,w_500,h_500, https://file.irayple.com/download/CPQ/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__Other_logo_%E8%83%8C%E9%9D%A2%E5%B7%A6%E9%80%8F%E8%A7%86.png?x-image-process=image/resize,m_lfit,w_500,h_500",1,"The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.",4,,,,
simple,iRayple 3000 Series Area Scan Camera- A3B00MG000E,"Unbox Industry presents a area scan camera by iRayple. The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.
 
 Key Features:
 - USB3.0 interface, 5Gbps theoretical transfer bandwidth, power supply via USB interface；
 
 - Compact size of 29mmx29mmx29mm;
 
 - 128MB on-board cache for data transmission or image resend;
 
 - Support Software Trigger/Hardware Trigger/Free Run Mode;
 
 - Support ISP functions including Sharpness/Denoising/Gamma/LUT/BlackLevel Correction/TargetBrightness etc.;
 
 - Color cameras support interpolation, white balance, chroma, saturation, etc.；
 
 - Support multiple image data formats output/ROI/Mirror, etc.；
 
 - Compatible with USB3.0 Vision protocol and GenICam standard;
 
 - Comform to CE, FCC, RoHS;",The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12.,"https://file.irayple.com/download/CPQ/MVAI01-00_29%C3%9729%C3%9742mm_GigE%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__%E6%B8%B2%E6%9F%93%E5%9B%BE_45Right-logo.png?x-image-process=image/resize,m_lfit,w_500,h_500",iRayple 3000 Series Area Scan Camera | Unbox Industry,0,"https://file.irayple.com/download/CPQ/MVAI01-00_29%C3%9729%C3%9742mm_GigE%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__%E6%B8%B2%E6%9F%93%E5%9B%BE_Other-logo_001.png?x-image-process=image/resize,m_lfit,w_500,h_500, https://file.irayple.com/download/CPQ/MVAI01-00_29%C3%9729%C3%9742mm_GigE%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__%E6%B8%B2%E6%9F%93%E5%9B%BE_Right-logo_%E7%BB%84%E5%90%88.png?x-image-process=image/resize,m_lfit,w_500,h_500",1,"The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.",4,,,,
simple,iRayple 5000 Series Area Scan Camera- A5200MG000E,"Unbox Industry presents a area scan camera by iRayple. The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.
 
 Key Features:
 - Gigabit Ethernet interface, providing 1Gbps bandwidth with a maximum transmission distance of 100m;
 
 - 256MB on-board cache for data transmission or image resend;
 
 - Support Software Trigger/Hardware Trigger/Free Run Mode;
 
 - Support ISP functions including Sharpness/Denoising/Gamma/LUT/BlackLevel Correction/TargetBrightness/Contrast etc.;
 
 - Color cameras support interpolation, white balance, color conversion matrix, chroma, saturation, etc.;
 
 - Support multiple image data formats output/ROI/Mirror, etc.;
 
 - Conform to GigE Vision V2.0 protocol and GenICam standard;
 
 - Support PoE power supply, DC 9V~24V wide voltage power supply;
 
 - Conform to CE, FCC, RoHS;",The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12.,"https://file.irayple.com/download/CPQ/MVAI01-20_29-29-42-%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA%E4%B8%80%E4%BB%A3%E5%A4%96%E8%A7%82-%E7%9B%B4%E6%8F%92%E7%BD%91%E5%8F%A3_%E6%B8%B2%E6%9F%93%E5%9B%BE_45Left-Logo.png?x-image-process=image/resize,m_lfit,w_500,h_500",iRayple 5000 Series Area Scan Camera | Unbox Industry,0,"https://file.irayple.com/download/CPQ/MVAI01-20_29-29-42-%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA%E4%B8%80%E4%BB%A3%E5%A4%96%E8%A7%82-%E7%9B%B4%E6%8F%92%E7%BD%91%E5%8F%A3_%E6%B8%B2%E6%9F%93%E5%9B%BE_45Left-Logo.png?x-image-process=image/resize,m_lfit,w_500,h_500, https://file.irayple.com/download/CPQ/MVAI01-20_29-29-42-%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA%E4%B8%80%E4%BB%A3%E5%A4%96%E8%A7%82-%E7%9B%B4%E6%8F%92%E7%BD%91%E5%8F%A3_%E6%B8%B2%E6%9F%93%E5%9B%BE_Other_%E7%BB%84%E5%90%88-Logo.png?x-image-process=image/resize,m_lfit,w_500,h_500",1,"The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.",4,,,,
simple,iRayple 5000 Series Area Scan Camera- A5200MU000E,"Unbox Industry presents a area scan camera by iRayple. The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.
 
 Key Features:
 - Gigabit Ethernet interface, providing 1Gbps bandwidth with a maximum transmission distance of 100m;
 
 - 256MB on-board cache for data transmission or image resend;
 
 - Support Software Trigger/Hardware Trigger/Free Run Mode;
 
 - Support ISP functions including Sharpness/Denoising/Gamma/LUT/BlackLevel Correction/TargetBrightness/Contrast etc.;
 
 - Color cameras support interpolation, white balance, color conversion matrix, chroma, saturation, etc.;
 
 - Support multiple image data formats output/ROI/Mirror, etc.;
 
 - Conform to GigE Vision V2.0 protocol and GenICam standard;
 
 - Support PoE power supply, DC 9V~24V wide voltage power supply;
 
 - Conform to CE, FCC, RoHS;",The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12.,"https://file.irayple.com/download/CPQ/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__Other_logo_%E5%8D%8E%E7%9D%BF%E7%BB%84%E5%90%88%E5%9B%BE.png?x-image-process=image/resize,m_lfit,w_500,h_500",iRayple 5000 Series Area Scan Camera | Unbox Industry,0,"https://file.irayple.com/download/CPQ/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__Other_logo_%E5%8D%8E%E7%9D%BF%E7%BB%84%E5%90%88%E5%9B%BE.png?x-image-process=image/resize,m_lfit,w_500,h_500, https://file.irayple.com/download/CPQ/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__Other_logo_%E8%83%8C%E9%9D%A2%E5%B7%A6%E9%80%8F%E8%A7%86.png?x-image-process=image/resize,m_lfit,w_500,h_500",1,"The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.",4,,,,
simple,iRayple 5000 Series Area Scan Camera- A5200CU000E,"Unbox Industry presents a area scan camera by iRayple. The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.
 
 Key Features:
 - Gigabit Ethernet interface, providing 1Gbps bandwidth with a maximum transmission distance of 100m;
 
 - 256MB on-board cache for data transmission or image resend;
 
 - Support Software Trigger/Hardware Trigger/Free Run Mode;
 
 - Support ISP functions including Sharpness/Denoising/Gamma/LUT/BlackLevel Correction/TargetBrightness/Contrast etc.;
 
 - Color cameras support interpolation, white balance, color conversion matrix, chroma, saturation, etc.;
 
 - Support multiple image data formats output/ROI/Mirror, etc.;
 
 - Conform to GigE Vision V2.0 protocol and GenICam standard;
 
 - Support PoE power supply, DC 9V~24V wide voltage power supply;
 
 - Conform to CE, FCC, RoHS;",The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12.,"https://file.irayple.com/download/CPQ/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__45Left_logo.png?x-image-process=image/resize,m_lfit,w_500,h_500",iRayple 5000 Series Area Scan Camera | Unbox Industry,0,"https://file.irayple.com/download/CPQ/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__45Left_logo.png?x-image-process=image/resize,m_lfit,w_500,h_500, https://file.irayple.com/download/CPQ/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__Other_logo_%E8%83%8C%E9%9D%A2%E5%B7%A6%E9%80%8F%E8%A7%86.png?x-image-process=image/resize,m_lfit,w_500,h_500",1,"The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.",4,,,,
simple,iRayple 5000 Series Area Scan Camera- A5B57CG200E,"Unbox Industry presents a area scan camera by iRayple. The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.
 
 Key Features:
 - Gigabit Ethernet interface, providing 1Gbps bandwidth with a maximum transmission distance of 100m;
 
 - 256MB on-board cache for data transmission or image resend;
 
 - Support Software Trigger/Hardware Trigger/Free Run Mode;
 
 - Support ISP functions including Sharpness/Denoising/Gamma/LUT/BlackLevel Correction/TargetBrightness/Contrast etc.;
 
 - Color cameras support interpolation, white balance, color conversion matrix, chroma, saturation, etc.;
 
 - Support multiple image data formats output/ROI/Mirror, etc.;
 
 - Conform to GigE Vision V2.0 protocol and GenICam standard;
 
 - Support PoE power supply, DC 9V~24V wide voltage power supply;
 
 - Conform to CE, FCC, RoHS;",The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12.,"https://file.irayple.com/download/FOLDER1044273/itemNumber/MVAI10-00_%E4%BA%A7%E5%93%81%E5%90%8D%E7%A7%B0_%E6%B8%B2%E6%9F%93%E5%9B%BE_45Right-logo_%E8%8B%B1%E6%96%87.png?x-image-process=image/resize,m_lfit,w_500,h_500",iRayple 5000 Series Area Scan Camera | Unbox Industry,0,"https://file.irayple.com/download/FOLDER1044273/itemNumber/MVAI10-00_%E4%BA%A7%E5%93%81%E5%90%8D%E7%A7%B0_%E6%B8%B2%E6%9F%93%E5%9B%BE_45Right-logo_%E8%8B%B1%E6%96%87.png?x-image-process=image/resize,m_lfit,w_500,h_500, https://file.irayple.com/download/FOLDER1044272/itemNumber/MVAI10-00_%E4%BA%A7%E5%93%81%E5%90%8D%E7%A7%B0_%E6%B8%B2%E6%9F%93%E5%9B%BE_Right-logo_%E7%BB%84%E5%90%88%E8%8B%B1%E6%96%87.png?x-image-process=image/resize,m_lfit,w_500,h_500",1,"The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.",4,,,,
simple,iRayple 5000 Series Area Scan Camera- A5B57MG200E,"Unbox Industry presents a area scan camera by iRayple. The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.
 
 Key Features:
 - Gigabit Ethernet interface, providing 1Gbps bandwidth with a maximum transmission distance of 100m;
 
 - 256MB on-board cache for data transmission or image resend;
 
 - Support Software Trigger/Hardware Trigger/Free Run Mode;
 
 - Support ISP functions including Sharpness/Denoising/Gamma/LUT/BlackLevel Correction/TargetBrightness/Contrast etc.;
 
 - Color cameras support interpolation, white balance, color conversion matrix, chroma, saturation, etc.;
 
 - Support multiple image data formats output/ROI/Mirror, etc.;
 
 - Conform to GigE Vision V2.0 protocol and GenICam standard;
 
 - Support PoE power supply, DC 9V~24V wide voltage power supply;
 
 - Conform to CE, FCC, RoHS;",The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12.,"https://file.irayple.com/download/FOLDER1044273/itemNumber/MVAI10-00_%E4%BA%A7%E5%93%81%E5%90%8D%E7%A7%B0_%E6%B8%B2%E6%9F%93%E5%9B%BE_45Right-logo_%E8%8B%B1%E6%96%87.png?x-image-process=image/resize,m_lfit,w_500,h_500",iRayple 5000 Series Area Scan Camera | Unbox Industry,0,"https://file.irayple.com/download/FOLDER1044272/itemNumber/MVAI10-00_%E4%BA%A7%E5%93%81%E5%90%8D%E7%A7%B0_%E6%B8%B2%E6%9F%93%E5%9B%BE_Right-logo_%E7%BB%84%E5%90%88%E8%8B%B1%E6%96%87.png?x-image-process=image/resize,m_lfit,w_500,h_500, https://file.irayple.com/download/FOLDER1044273/itemNumber/MVAI10-00_%E4%BA%A7%E5%93%81%E5%90%8D%E7%A7%B0_%E6%B8%B2%E6%9F%93%E5%9B%BE_45Right-logo_%E8%8B%B1%E6%96%87.png?x-image-process=image/resize,m_lfit,w_500,h_500",1,"The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.",4,,,,
simple,iRayple 7000 Series Area Scan Camera- A7160MU000E,"Unbox Industry presents a area scan camera by iRayple. The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.
 
 Key Features:
 - 5Gbps bandwidth USB3.0 interface
 
 - 128MB on-board frame buffer
 
 - Support multiple image data formats
 
 - Conform to CE, FCC, RoHS certifications
 
 - Software trigger/Hardware trigger/Free run mode
 
 - Conforms to USB 3.0 vision protocol and GenlCam standard",The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12.,"https://file.irayple.com/download/FOLDER1044842/itemNumber/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__45Left_logo.png?x-image-process=image/resize,m_lfit,w_500,h_500",iRayple 7000 Series Area Scan Camera | Unbox Industry,0,"https://file.irayple.com/download/FOLDER1044842/itemNumber/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__45Left_logo.png?x-image-process=image/resize,m_lfit,w_500,h_500, https://file.irayple.com/download/FOLDER1044843/itemNumber/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__Other_logo_%E5%8D%8E%E7%9D%BF%E7%BB%84%E5%90%88%E5%9B%BE.png?x-image-process=image/resize,m_lfit,w_500,h_500",1,"The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.",4,,,,
simple,iRayple 7000 Series Area Scan Camera- A7160CU000E,"Unbox Industry presents a area scan camera by iRayple. The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.
 
 Key Features:
 - 5Gbps bandwidth USB3.0 interface
 
 - 128MB on-board frame buffer
 
 - Support multiple image data formats
 
 - Conform to CE, FCC, RoHS certifications
 
 - Software trigger/Hardware trigger/Free run mode
 
 - Conforms to USB 3.0 vision protocol and GenlCam standard",The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12.,"https://file.irayple.com/download/FOLDER1044843/itemNumber/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__Other_logo_%E5%8D%8E%E7%9D%BF%E7%BB%84%E5%90%88%E5%9B%BE.png?x-image-process=image/resize,m_lfit,w_500,h_500",iRayple 7000 Series Area Scan Camera | Unbox Industry,0,"https://file.irayple.com/download/FOLDER1044843/itemNumber/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__Other_logo_%E5%8D%8E%E7%9D%BF%E7%BB%84%E5%90%88%E5%9B%BE.png?x-image-process=image/resize,m_lfit,w_500,h_500, https://file.irayple.com/download/FOLDER1044844/itemNumber/MVAI02-00_USB%E9%9D%A2%E9%98%B5%E5%B7%A5%E4%B8%9A%E7%9B%B8%E6%9C%BA_%E8%8B%B1%E6%96%87__Other_logo_%E8%83%8C%E9%9D%A2%E5%B7%A6%E9%80%8F%E8%A7%86.png?x-image-process=image/resize,m_lfit,w_500,h_500",1,"The area scan industrial cameras resolution covers from 0.3MP to 151MP. Interface includes GigE/10GigE/USB3.0/Camera Link/CXP-6/CXP-12. Adopts high-quality imaging chip with powerful built-in ISP imaging algorithm, and outstanding image quality.",4,,,,
